,Text,Label
0,well idea use nasa shuttle astronaut crew found space accident hole maybe age year shuttle mission late way shuttle problem medium anything imagine member century object interest alien civilization maybe st enterprise okay well,3
1,greg obviously nt many newsgroup well maybe,1
2,dave think mean dave tga available msdos directory wuarchive respective version also version view file create whole bunch last week away afternoon programme bit definitely well interface first easy figure trick crash try spline option sure nt source think anyone else hint thing work right tell several hour first time figure spline work,0
3,nt big bike john little sun japan,1
4,philadelphia chicago team sunday brewer first game game series friday saturday sunday well ernie bank perhaps fact cub always sandberg brewer beat alexander bunning last able win lord hope pull phils top first pete hit second cut ball left center threw bullet ernie bank threw ron third second play long fly center pete third schmidt cub absolutely beat schmidt likely draw walk year chuck hit well double gap cool papa bell speed cut ball prevent schmidt bob second threat team nt pitch schmidt total put lot pressure allen platoon chuck occasionally spell first credit phillies able pace time analysis frank chance cub back bell hit thomas grounder second sandberg williams home sixth ron homer trouble eighth schmidt third ed face allen hit allen right cub williams left dawson defense bullet home plate third bruce larry double play ed likely attempt hit quick third chance brought lee smith catcher inning cub win game phillies steve battle brown saturday lineup ron first bill played third unfortunately brown double cub even cub maintain lead lefty batting sixth double home run hit home run score cub inning trouble bottom eighth cub grabbed run ice sunday twin bill saw cool papa bell gather straight hit point rare home second game robin robert alexander phils first contest cub second win bruce inning eighth cardinal stood half game series expo monday montreal st louis august tie dennis martinez roll continued versus john friday expo wide variety hitter nt great job first first game suddenly found game first season martinez friday williams dean saturday however cardinal sunday card monday game steve steve rogers really good ground ball pitcher team speed lou nt nt win division phillies cub reason way season tie first new_york pittsburgh august straight win back team bad thing play pitcher park spoke series keith hernandez defense away quite run year extra win pirate error season ahead second place dodger error total tend best defensive team friday saturday game outstanding defense nolan ryan mets win sunday pirate look forward victory back mark unable several time past month met afternoon game pitcher stuff run inning home run shot mets blast pirate mets darryl strawberry home top ninth second inning wilson gary carter second runner first lee sent pirate fifth spot order barry bond left field ninth place hitter strawberry second hard pirate fifth double play afternoon hit threw third right field line inning randy pitch eighth bond rocket deep center stop sign third score homer win pirate straight win game first place week san_francisco august sunday schedule giant close gap team thanks nt tire fact manager john rough part schedule maybe early week shift rotation little juan continued hot friday beating brave willie may rbi hit rick joe saturday brave park homer giant affair willie may homer willie eddie aaron ernie brave home run sunday pace short national league record still yankee pace blue actually win batter fifth sixth seventh joe brave hold lead first game aaron bill eighth brave giant second game however score homer aaron brave however game extremely unlikely san diego cincinnati aug randy jones first series padre felt rather good mattingly back last cleveland game trade even well batting average even course bench poor joe adequate outfield minor problem jones good game friday home run harder win help mark davis ray saturday final score tom tie inning game inning john inning tom second inning dave winfield joe runner home padre win sweep giant tie red red highly series dodger much houston august series weekend place wide open plain astros sent joe hill first game opposite normally hitter ready throw nt afford team runner nt davis fact glenn davis lead team homer primarily understood current pace season team little well power double triple still carl main reason astro home run hit weekend threw runner homer astros park high gray wall outfield ball hit seat home run foul pole foot home plate foot away center field foot threw told nt hit home run nobody hit home run roy dodger stole base friday astros baltimore week tonight anyway davis jim jose mess manager pole willie well base baltimore chop jose pitch double first davis astros nt score inning score fourth astros wound even well next game tommy john opponent met privately starter game think beat baltimore chop beating ball ready throw steve start first dig ball dirt want practice pick throw infield almost whole time plan almost mike scott run inning astros bill outfield fourth runner second third astros final dave smith dodger victory first game twin bill sunday nolan ryan dodger win second game however dodger base series enough mostly power team ron play real speed couple play place guess successful indeed team trouble base attempt season standing weekend series team w l gb new_york cleveland detroit boston baltimore toronto washington minnesota chicago kansa city california milwaukee seattle chicago philadelphia st louis pittsburgh montreal new_york cincinnati san_francisco houston san diego,2
5,interested graphic library design team write graphic software unix workstation portable possible eventually software microsoft window opinion good hook pex prove portable anyone experience figaro form software appreciate comment,0
6,hi anybody polygon reduction algorithm cube surface eg hint kiss,0
7,still telephone people think wire comment source document volume document archive cabin drawer file section content colonel general headquarters second section istanbul dr stephan local berlin istanbul closely week withdrawal russian armenian turkish territory armenia month territory armenian gang evidence cruelty armenian almost step village erzincan erzincan erzurum destroyed corps turk brutally everywhere account able life mountain first horrible event russian force place armenian gang russian usually people well people intervention armenian place armenian however massacre clearly intention armenian land turk thus solve nationality problem today opportunity meet austrian german soldier russian prison camp kars alexander paul russian officer turk russian officer armenian gang erzurum terrible almost whole city destroyed smell corps still fill air speculation armenian gang austrian german prisoner well evidence regard proof turkish prisoner war dr stephan serdar_argic,4
8,something drink sometime prince prince never hit well minor year_old think bad hitter minor bring number tomorrow nt brain forget good year major recall organization good hit decent fielding major nt hit well much time exhibit nichols law catcher defense reputation outstanding defensive catcher clear ever hit year ab born july year ab ba slg power walk peak year model prince prince minor picture btw still reputation cardinal organization much much well hitter average hitter average fielder instead average hitter average average fielding catcher,2
9,well change fact period fascist xsoviet_armenian government genocide_muslim people race religion national origin past turkiye today azerbaijan cause armenian brought neighbor wrong agenda method armenian continue become region usual neighbor lie completely azerbaijan border history whatsoever xsoviet_armenia geographical aspect historic homeland heritage azerbaijan render armenian claim even still demand xsoviet_armenian government armenian dictatorship turkish genocide xsoviet_armenia return historic homeland turkish people xsoviet_armenian government material reparation crime victim turkish genocide world government officially turkish genocide turkish territorial right refuse armenian political pressure turkish people necessity effort pursue turkish cause victim first genocide 20th century positive step source sunday time march british weekly thomas agdam azerbaijan armenian soldier massacre hundred family violence outer republic former soviet union new yesterday slaughter hundred woman_child nagornokarabakh survivor armenian soldier shot azeri many woman_child attack town hundred possibly thousand dead attacker soldier volunteer woman_child gun refugee survivor later described real slaughter soldier survive armenian shot shot people bayonet knife agdam woman_child way armenian line husband front daughter still boy agdam ear survivor others separately still terrain many wound cold late yesterday death morgue agdam morgue body cemetery corps saw burial child woman shot chest point blank range agdam hospital scene terror doctor patient slaughter bullet injury deep wound safe agdam friday night rocket city population several building person serdar_argic,4
10,something think land way perfect safety people nt ball live real world mary shafer nasa ames dryden,3
11,question individual party put arab cabinet post arab position jew party power racism care deny several occasion labour coalition party individual even belong nice peaceful zionist party welcome arab security ground excuse sure look racism arab cabinet even thing suggest arab course well reason happy listen good reason leftist jew less security risk leftist arab party look present cabinet joseph,4
