,Row,Column,Value
158532,approve_later,usda,0.1382105378147852
1409883,tomorrow_include,usda,0.14380573010237588
1343487,rexnord,usda,0.1463387532410269
1406727,term_full,usda,0.14837677088996615
415203,co_february,usda,0.1489931051577433
798195,ferruzzi,usda,0.15007223292089097
1374537,situation_february,usda,0.15276969903747092
1187520,net_six,usda,0.1531398236811184
172770,around_response,usda,0.1534946468958222
443313,comment_february,usda,0.15429436378672728
1374828,six,usda,0.15543402157304545
1410002,tomorrow_take,usda,0.15728796500049577
1369437,short_decline,usda,0.15826014615837136
1188197,nevertheless,usda,0.15920998629274946
1415160,usda,week_operating,0.16048038172435383
1415175,usda,work_close,0.16048327349117458
1366302,seven,usda,0.16324083913358053
1236723,painewebber,usda,0.16341492150126866
1402488,take_however,usda,0.16475325753148445
77957,agreement_around,usda,0.16664506288011616
171192,around_five,usda,0.16800003132326213
1357338,saudi_weekend,usda,0.16916175402514103
1412367,triton,usda,0.17002635398498905
1174467,much_policy,usda,0.1703832859449943
1099817,lufkin,usda,0.17071667153769177
1065482,later,usda,0.17157714619350423
779138,far,usda,0.17181457385775223
1361412,sector_cut,usda,0.17200585010391634
707187,eleven,usda,0.17213782806144892
183788,ask_barrel,usda,0.1729820366633639
1320882,record_already,usda,0.17360620956856251
1302063,proxmire,usda,0.1742782604732131
1233102,owe,usda,0.17435951913798015
441917,comment_chairman,usda,0.17577968086497678
1250847,peladeau,usda,0.17626691750875242
580452,declare_service,usda,0.17639059945042768
1043343,keidanren,usda,0.17639355323355885
538548,croo,usda,0.17662084651113702
1145807,mexico_later,usda,0.17670835793225734
873620,german_asset,usda,0.17769908231178497
1404303,tax_february,usda,0.17818627142625762
459987,compare_analyst,usda,0.17922600302472785
838673,fourth_firm,usda,0.1827749284046505
1068828,lay,usda,0.18332021726250275
762083,export_fourth,usda,0.18505360228476103
1366937,share_sale,usda,0.1852890840725259
542520,crude_pay,usda,0.18570024521997244
1196907,non_help,usda,0.18575308032362275
1158183,minute,usda,0.18693486632508177
1415187,usda,yet,0.18703694843215965
909495,health_less,usda,0.18766484395899574
1415182,usda,yasuhiro,0.18768594970467362
1039008,k_world,usda,0.18846886435821872
1025853,japan_next,usda,0.19010485429533588
309207,brings,usda,0.19071681424568065
1217627,open_close,usda,0.19143893127728426
940247,however,usda,0.19202515721706293
1284668,president_amount,usda,0.19251886119876574
1102995,lyng,usda,0.19303780311993393
166452,ariadne,usda,0.19317790346468575
836520,four,usda,0.19363948058423583
1101408,lusinchi,usda,0.19392702824344765
1410237,tonne_convertible,usda,0.1940914933428307
1415159,usda,week_open,0.194235157479275
1048512,kistler,usda,0.1950820061441242
1392047,step,usda,0.1965812799855965
1373952,singapore_leader,usda,0.19718869864125374
1396113,subroto,usda,0.19804943198628444
235070,bancshares,usda,0.19812507427354445
1404462,tax_split,usda,0.19837882850403557
1097423,lot,usda,0.20201790360753874
519893,corp_prime,usda,0.2026635959479327
128208,american_money,usda,0.20373191424119086
758645,expires_design,usda,0.20424927836931747
102392,allege,usda,0.20455713399513373
218097,ay,usda,0.20553871390298944
1202183,note_charge,usda,0.20570751880891497
228912,bally,usda,0.20765398114894354
577863,december_japanese,usda,0.2077855013743155
1354542,saito,usda,0.20859457815855348
273195,beyond,usda,0.20859808401678342
1322193,reebok,usda,0.20957772565628305
488820,consequently,usda,0.20980135513442733
1073817,least,usda,0.2098109234183207
1100613,luis,usda,0.20988403763854319
437723,comex,usda,0.2105727953640211
315153,brought,usda,0.21103370757469758
189819,assist,shultz,0.21189166338853732
1400370,surprise,usda,0.21229099304072996
1225752,outflow,usda,0.21262507576162448
1260503,picked,usda,0.2126271097722367
112103,already,usda,0.21288206620467912
917523,help,usda,0.21296930473323822
935352,hour,usda,0.21327776858933636
1053645,kokusai,usda,0.21439670397222188
1306808,qtly,usda,0.21460707780588487
991520,instruct,usda,0.21473239212127704
303245,bra,usda,0.2148160359758591
1415138,usda,vernitron,0.2148399914192432
239678,bank_sale,usda,0.21523163626201747
388128,chi,usda,0.21542674935966363
1228218,outokumpu,usda,0.21605106657489198
710757,em,usda,0.21630757228619482
1379622,soon,usda,0.2174376273639688
286767,bond,usda,0.21747840362364268
