,Text,Label
0,champion product approves stock_split champion product inc board_director stock_split common_share shareholder_record april company also board recommend shareholder annual_meeting april increase capital stock mln mln share reuter,earn
1,computer terminal system completes sale computer terminal system inc sale share common_stock warrant additional mln share n v switzerland dlrs company warrant exercisable year purchase price dlrs share computer terminal also right additional share increase total holding pct computer terminal outstanding_common stock certain circumstance change control company company condition occur warrant exercisable price equal pct common_stock market price time exceed dlrs share computer terminal also right dot impact technology future improvement inc houston dlrs continue exclusive worldwide licensee technology company move part reorganization plan help pay current operation cost product delivery computer terminal computer label form ticket printer terminal reuter,acq
2,inc year net shr_ct v dlrs net v asset mln v mln deposit mln v mln loan mln v mln note th_qtr available year extraordinary_gain tax carry forward dlrs ct shr reuter,earn
3,international inc nd_qtr jan oper_shr loss ct v profit ct oper_shr profit v profit rev_mln v mln avg_shrs mln v mln mths oper_shr profit nil v profit ct oper_net profit v profit rev_mln v mln avg_shrs mln v mln note shr payment dividend result exclude credit ct ct qtr mths v ct ct_prior period operating loss carryforwards reuter,earn
4,brown forman inc th_qtr net shr dlr v ct_net mln v mln rev_mln v mln mths_shr dlrs v dlrs net mln v mln rev v mln reuter,earn
5,dean food see strong th_qtr earnings dean food co earnings fourth_quarter exceed year_ago period chairman kenneth douglas told analyst fiscal fourth_quarter food processor earnings ct share douglas also year sale exceed dlrs dlrs prior year_earlier projection third_quarter earnings probably slightly last_year ct share range ct ct share douglas early project fourth_quarter performance enough exceed prior year overall earnings dlrs share douglas dean experience pct improvement bottom line effect tax reform act alone president howard dean fiscal company benefit various dairy frozen vegetable acquisition ryan milk co dean also company benefit acquisition late december inc west chicago company major shareholder e b food ltd united kingdom licensing arrangement australia canada brazil japan entry corp year douglas told analyst reuter,earn
6,magma lower copper cent ct magma copper co subsidiary newmont mining corp copper cathode price cent cent lb effective immediately reuter,copper
7,brown forman set stock_split ups payout brown forman inc board stock_split pct increase company cash dividend company earnings outlook continued strong cash_flow reason dividend brown forman split class class_b common_share effective march company director quarterly cash dividend new share class ct payable_april holder_record march prior split company paid ct quarterly brown forman today pct increase third_quarter profit mln dlrs dlr share pct increase sale record mln dlrs brown forman month profit bit mln dlrs dlrs share mln dlrs dlrs share year_earlier due second_quarter charge ct share restructuring beverage operation company low corporate tax rate restructuring substantially brown forman earnings cash_flow fiscal reuter,earn
8,radio electronics inc th_qtr shr profit ct v profit ct annual div_ct v ct_prior yr net profit v profit rev v mths_shr profit ct v loss ct_net profit v loss rev_mln v note annual dividend_payable april stockholder record_march reuter,earn
9,united presidential corp th_qtr net shr_ct v ct_net v rev_mln v mln year shr dlrs v dlrs net v rev_mln v mln note result include adjustment dlrs ct shr year period improvement result universal life business first reuter,earn
10,january housing sale drop realty group sale previously home pct january seasonally annual rate mln unit national association december rate mln unit high record mln unit sale rate set november group drop january significant portion december record pace seller favorable capital gain treatment old tax law john reuter,housing
11,asset money_market mutual fund mln dlrs late week,money-supply
12,owen minor inc raise qtly dividend_qtly div ct v ct_prior pay march record_march reuter,earn
13,computer language research th_qtr shr loss ct v loss ct_net loss v loss rev_mln v mln qtly_div ct v ct_prior year shr profit ct v profit ct_net profit v profit rev_mln v mln note dividend_payable april shareholder_record march reuter,earn
14,ltd th_qtr net shr_ct v ct_net mln v sale mln v mln avg_shrs v year shr dlrs v dlrs net mln v mln sale mln v mln avg_shrs v reuter,earn
15,standard trustco see well year standard trustco earnings increase least pct dlrs dlrs share stable interest_rate economy provide favorable condition growth president brian told shareholder annual_meeting standard trustco previously asset dlrs dlrs return common shareholder equity pct last_year pct reuter,earn
16,th_qtr loss shr loss ct v loss ct_net loss v loss rev_mln v mln month shr loss ct v profit ct_net loss v profit rev_mln v mln note net loss th_qtr charge restructuring mln dlrs tax ct share net loss tax special charge mln dlrs ct share reuter,earn
17,ico producer present new coffee proposal international_coffee organization ico country present proposal export_quota month april firm undertaking try negotiate september future quota distribution new basis ico delegate distribution april unchanged basis earlier producer proposal shortfall mln bag ico contact group meeting consumer tomorrow delegate reuter,coffee
18,chemlawn chem rise hope high bid chemlawn corp chem attract high bid dlrs share waste_management inc wall_street arbitrageur share chemlawn shot counter trading mln company mln share hand late afternoon company time cash_flow dlrs maybe dollar bidder arbitrageur waste_management tender_offer opening today expires march totally surprise chemlawn spokeswoman company board held regularly meeting today waste_management announcement statement certain ready unable prior contact waste_management chemlawn official think resist analyst ball inc company surprise attack arbitrageur difficult resist tender_offer share cash chemlawn try white want waste_management analyst snyder company l p inc example company interested chemlawn mln customer large u company application waste_management removal waste chemlawn customer base company strong residential commercial distribution system high growth rate chemlawn share price mid stock rate growth company profit fourth_quarter chemlawn dlrs share full year dlrs fourth_quarter chemlawn thousand individual offer garden care reuter,acq
