,Row,Column,Value
4064351,denwa,sanwa,0.9355912791917638
6767832,intervene,investigate,0.9355995689456736
5223389,facilitate,restrict,0.9356014264412327
1994383,brings,brought,0.9356665932266944
7595667,mechanism,peripheral,0.9357208705740294
5289880,favorable,favourable,0.9358077665706546
6951555,judgement,judgment,0.9358479172648496
5859125,generic,specific,0.93592493764314
8409013,philip,richard,0.9359296944491106
7674348,michael,robert,0.9359622025372497
3973929,deficit,shortage,0.9360227718619876
6636634,initiative,project,0.9360280545951118
7252547,licence,license,0.9360596181609961
8619366,productive,significant,0.9361312108034119
7596608,mechanism,unrelated,0.9361501558327938
7595720,mechanism,planting,0.9362230101955543
7973910,newly,unexpected,0.9362258524050692
5786045,gallon,stance,0.936255674472677
6146563,hardship,residual,0.9363175451741534
8841346,regulatory,restriction,0.9363262166799977
4466075,downward,hardship,0.9363470367782956
3890057,dean,michael,0.936384723857232
4467700,downward,restrictive,0.9364121795406654
5403711,fifth,fourth,0.9364256987317843
2388485,carrier,stance,0.9364468741087922
5685456,franklin,leonard,0.9365423418647254
1584294,bbl,sgl,0.9365784991275645
2388553,carrier,strictly,0.9365848336145565
2115848,bulk,container,0.9366531121409454
6159313,harris,ross,0.9367538757506055
6587650,indication,indicator,0.9369176052314105
4307292,disruption,peripheral,0.936928480876592
725065,analysis,evaluation,0.9369569477064114
8372942,peripheral,synthetic,0.9369813695392414
4305639,disruption,exceeds,0.9369830675328359
8924708,restrictive,sugarcane,0.9370661012696241
1638707,behalf,downward,0.9370839911153332
6145553,hardship,intention,0.9370884873976846
3629657,credibility,fiber,0.9371471120893735
821583,apparent,disruption,0.937190924766268
3733360,curb,stretch,0.9372414359950747
4467600,downward,regain,0.9373345699914041
4455543,douglas,ross,0.9373688462955386
3366867,container,delivery,0.9373819342339069
42035,absorb,sentiment,0.9373952643030885
6723625,intention,stance,0.9375104954127778
1081402,assessment,measurement,0.9375555547713605
2767189,circle,symbol,0.9376040941716846
7830838,morgan,murphy,0.9376972490129067
8372877,peripheral,strict,0.9379437716004373
6741478,interfere,intervene,0.9379553852572604
9000932,ross,stewart,0.9379597130603885
2388552,carrier,strict,0.9381253500100944
6151691,harmful,limitation,0.9381317091521233
4306332,disruption,intention,0.9381630807339091
