,Row,Column,Value
170,geb_cspittedu,zionism,0.4703865320549936
155,geb_cadredslpittedu,zionism,0.4729216739013191
209,mcgill,zionism,0.479381655311915
221,migraine,n3jxp_skepticism,0.4803598042610464
239,n3jxp_skepticism,zionism,0.4818513694179823
76,associate,n3jxp_skepticism,0.48698503530544446
44,amateur_radio,zionism,0.4916575182633892
85,associate,zionism,0.4947678906188101
145,geb_cadredslpittedu,migraine,0.503921626619724
41,amateur_radio,soon,0.5050937856096461
113,bank,n3jxp_skepticism,0.5103974896926412
254,pittsburgh_computer,zionism,0.5106966179705883
160,geb_cspittedu,migraine,0.5113097109446471
274,university_georgia,zionism,0.5125745342108649
32,amateur_radio,mcgill,0.5147425653728745
22,ai,zionism,0.515957381514217
70,associate,geb_cspittedu,0.5220144684274911
200,mcgill,n3jxp_skepticism,0.5239705025839335
141,geb_cadredslpittedu,georgia,0.5279321316267654
69,associate,geb_cadredslpittedu,0.5291408127267151
175,georgia,n3jxp_skepticism,0.52963554883607
220,michael_covington,zionism,0.5336164814939215
222,migraine,organization_univ,0.5348069422523436
127,chastity_intellect,mcgill,0.5360259086620747
88,athens,geb_cadredslpittedu,0.5365037537278439
234,n3jxp_skepticism,scientist,0.5366051435788483
247,organization_univ,zionism,0.5382927231654603
25,amateur_radio,athens,0.538897307234467
265,scientist,zionism,0.5390585986730868
238,n3jxp_skepticism,usa,0.5400168776832115
233,n3jxp_skepticism,racism,0.5404463046558654
38,amateur_radio,racism,0.5406494405294229
34,amateur_radio,migraine,0.5406527826427585
164,geb_cspittedu,racism,0.5411223061164706
205,mcgill,shameful_surrender,0.54118251169245
95,athens,n3jxp_skepticism,0.5419855064984183
156,geb_cspittedu,georgia,0.542160506713135
269,shameful_surrender,zionism,0.5424302506910995
158,geb_cspittedu,mcgill,0.5427123582818298
149,geb_cadredslpittedu,racism,0.5440491413730876
272,soon,zionism,0.5463717811009264
143,geb_cadredslpittedu,mcgill,0.5478310007568963
223,migraine,pittsburgh_computer,0.54812356049844
53,artificial_intelligence,mcgill,0.5521222694777842
154,geb_cadredslpittedu,usa,0.5531773220677354
165,geb_cspittedu,scientist,0.553982696066064
118,bank,shameful_surrender,0.5540397170631397
227,migraine,soon,0.5542236192282611
89,athens,geb_cspittedu,0.5542404117165762
187,gordon_bank,migraine,0.554475947832566
139,chastity_intellect,zionism,0.5546174918564308
106,bank,geb_cadredslpittedu,0.555328146028603
176,georgia,organization_univ,0.5560960949676724
228,migraine,university_georgia,0.556642935832323
30,amateur_radio,georgia,0.5571537135040526
167,geb_cspittedu,soon,0.5575286254603192
62,artificial_intelligence,soon,0.5576391998881131
64,artificial_intelligence,usa,0.5600626317795994
107,bank,geb_cspittedu,0.5602304993142426
244,organization_univ,soon,0.5608056316357402
138,chastity_intellect,usa,0.561909125948413
26,amateur_radio,bank,0.5621255838711736
210,michael_covington,migraine,0.5624986803817209
180,georgia,shameful_surrender,0.5626139133136382
81,associate,shameful_surrender,0.563136879661954
43,amateur_radio,usa,0.5636806207629791
169,geb_cspittedu,usa,0.563787351547154
150,geb_cadredslpittedu,scientist,0.5643761637863784
47,artificial_intelligence,bank,0.5650793557421881
268,shameful_surrender,usa,0.5652595159002809
229,migraine,usa,0.565283914444458
68,associate,chastity_intellect,0.5658236740326561
152,geb_cadredslpittedu,soon,0.5663822728586194
24,amateur_radio,associate,0.5667975566218845
35,amateur_radio,n3jxp_skepticism,0.5669099219651921
105,bank,chastity_intellect,0.5687137982979872
55,artificial_intelligence,migraine,0.5704870139172571
51,artificial_intelligence,georgia,0.5712257219507125
270,soon,university_georgia,0.5713554119444992
251,pittsburgh_computer,soon,0.5723000985749942
122,bank,zionism,0.5729622681658229
