,Text,Label
0,denni web page mail pop uki offic_hour comput lab offic anderson mailbox anderson hall lab resum dilbert comic sport data mine web imag web yahoo,student
1,russel impagliazzo depart comput_scienc engin univers_california san_diego jolla offic appli physic mathemat build apm phone_fax email russel ucsd assist_professor special complex_theori research circuit low bound theori cryptographi comput random cours fall cse algorithm cse algorithm offic_hour student prioriti mondai_wednesdai student prioriti tuesdai_thursdai research paper beam cook impagliazzo rel complex search problem beam impagliazzo improv depth low bound small distanc connect beam impagliazzo low bound proposit proof impagliazzo reachabl problem finit cellular automaton impagliazzo commun complex low bound circuit depth gupta impagliazzo comput planar impagliazzo levin construct pseudo random gener function impagliazzo person view averag case complex impagliazzo distribut hard problem impagliazzo effici cryptograph scheme provabl secur subset sum impagliazzo effect random boolean formula impagliazzo size depth trade circuit impagliazzo upper low bound tree cut plane proof impagliazzo network algorithm impagliazzo limit provabl consequ beam impagliazzo exponenti low bound constant depth proof principl,faculty
2,dave phd_student depart comput_scienc univers_texa austin research sequenti decis task practic real world problem includ control resourc alloc rout task character scenario agent observ state dynam system select finit set action system enter state agent select action system return decis sequenc decis object select sequenc action return high total cumul research evolv neural_network genet_algorithm learn perform sequenti decis task interest task problem specif knowledg unavail domain studi includ game plai intellig control constraint satisfact inform list public educ comput_scienc univers_texa austin comput_scienc tulan univers contact_inform offic taylor_hall phone_email address utexa postal address univers_texa austin depart comput_scienc tai austin local link utc neural_network home_page lab home_page utc home_page austin home_page link research link sport link misc link visitor_number,student
3,center learn design univers colorado boulder human comput commun research group center learn design part depart comput_scienc institut cognit_scienc univers colorado boulder mission center theoret work build prototyp system scientif foundat construct intellig system serv human capabl inform topic introduct learn part life approach technolog upcom event member collabor group intern password requir meet cours current research grant project research prototyp public public earlier recent present relev resourc web new confer chi confer child plai world_wide web boulder updat august colorado,project
4,steve liu associ_professor depart comput_scienc texa univers colleg station offic bright build phone_fax email liu tamu curriculum_vita cpsc fall,faculty
5,joel spencer professor comput_scienc mathemat dept spencer nyu depart comput_scienc courant_institut mathemat scienc york univers mail_address room mercer york phone voic_fax photo email spencer nyu topic paper descript select paper vita paper postscript probabilist method shell peru book leisur ohio state lectur seri lectur summer graduat_student school held ohio state_univers august,faculty
6,srihari research assist_professor comput_scienc state_univers york buffalo srihari research scientist cedar concurr research assist_professor depart comput_scienc state_univers york buffalo research center linguist inform interpret spatial visual data research span disciplin includ comput vision natur_languag understand spatial reason knowledg_represent head research effort languag model recogn handwritten text text understand photo document show multimedia system automat imag annot content base retriev chair aaai symposium comput method integr languag vision held mit novemb srihari receiv math comput_scienc univers waterloo canada receiv comput_scienc suni buffalo dissert address text interpret photograph list recent_public srihari multimedia input autom imag annot content base retriev present confer storag retriev techniqu imag databas spie san_jose februari postscript_version srihari text understand photo artifici_intellig review special_issu integr languag vision press srihari comput model integr linguist visual inform survei artifici_intellig review special_issu integr languag vision press srihari debra visual semant extract visual inform text accompani pictur proceed aaai seattl postscript_version srihari incorpor syntact constraint recogn handwritten sentenc proceed_intern joint confer_artifici intellig ijcai franc august postscript_version srihari rajiv debra text imag interpret proceed arpa workshop imag understand novemb monterei workshop proceed access www email cedar buffalo phone ext cedar buffalo,faculty
7,msc student depart comput_scienc univers_alberta gener servic build edmonton alberta canada phone_offic offic gener servic build mail ualberta visitor_number user interest link net onlin pathfind cnn interact newspap world weather magazin onlin app list linux document project comput paper movi softwar librari game domain search engin lyco search infoseek search yahoo search link uofa link alberta www server netscap view page,student
8,math stat nonlinear program theori applic fall schedul lectur mwf mail_list wisc url_http www wisc instructor michael ferri offic telephon mail ferri wisc_offic hour_mondai tuesdai wednesdai teach_assist lee offic telephon mail wisc_offic hour wednesdai thursdai class text nonlinear program mangasarian siam publish philadelphia text nonlinear program theori algorithm edit wilei york nonlinear program scientif gener inform overview introduct linear inequ theorem altern convex set convex function optim criterion differenti differenti convex function order optim criterion differenti order optim criterion differenti nonlinear program gener convex function optim condit exact penalti augment gradient project book reserv kurt wendt librari assign grade homework_assign grade assign week midterm examin novemb grade final examin grade homework_assign homework_homework homework_homework mathemat program home_page cours page updat period semest,course
9,java enabl browser applet browser recogn applet tag applet lei duan graduat_student mexico state_univers depart comput_scienc scienc hall room stewart street la cruce mexico nmsu http_www nmsu statist natur_languag process project descript download data descript featur main claus classifi featur tabl main claus classif word count file count file featur tabl tabl featur tabl tabl descript data raw data,student
10,zvi posit professor depart comput_scienc york univers posit research_interest current research_interest center gener project point calypso secondari research_interest distribut comput parallel comput databas system research address area comput_scienc list public reach offic offic broadwai room email easili reachabl email read gener busi dai busi dai set vacat messag phone_offic number check voic mail busi dai home number voic mail leav messag voic mail check regularli reach cellular phone_fax offic fax number town fax arriv gener good wai fax home fax number prefer fax town postal address york univers mercer street york usa put mail travel schedul,faculty
