,Row,Column,Value
5651534,emphasize,insist,0.940253140575088
4880653,develop,develops,0.9403017712300812
1116356,appropriate,suitable,0.9403623520373561
1293752,arrival,arrive,0.9403761397091708
8231571,lending,mechanism,0.94038337999863
9981652,rapidly,steadily,0.9404042599990572
9659436,plunge,stance,0.9404108086335032
6647377,ftc,ibc,0.9404269580408033
1480264,attempt,regain,0.9404398609442801
9822873,productive,profitable,0.9404979395458486
4559047,debt_march,treasury_april,0.9405165981521753
10074451,regain,revive,0.9405175337713029
1190687,arbitrage,arbitrager,0.9405436818401104
2780421,carrier,contrary,0.9405575464070098
2763507,carl,karl,0.940571445844588
18001,1p,3p,0.9405768395359426
113699,able,regain,0.9405921139577935
10775278,transport,transportation,0.9406738090171031
6131693,extremely,highly,0.9407744458951071
7181410,henry,robert,0.9408867511789217
9444348,particular,specific,0.9409538766935162
6676081,fundamentally,necessarily,0.9410326434066747
4701333,deliver,rebuild,0.9410463497450574
5698170,enforce,impose,0.9410690485404266
8733829,michel,pierre,0.9411516547703332
2107151,binding,delivery,0.94117559179074
4190536,counterpart,revive,0.9412209822294848
3852118,considerable,dramatically,0.9412763375772863
4511,1970s,1980s,0.9412968007222855
10090359,regulatory,structural,0.9413056776742521
6039304,expectation,stance,0.9413336294336387
57918,5p,7p,0.9413696835500266
7063336,harbor,harbour,0.9414544036425215
3240337,classify,restrict,0.9415172983991846
2306714,breach,violate,0.9416790393260283
6144435,facilitate,relate,0.9418066244794834
9229673,often,sometimes,0.9418146337462637
4191475,counterpart,vegetable,0.9418493425976714
1386468,assessment,evaluation,0.9418787923019339
8299442,likely,probably,0.9418792720891379
1246551,argument,disagreement,0.9419659588661499
1169568,arab,arabian,0.9419887231952124
6038737,expectation,regain,0.9420254928224465
2835115,catch,mood,0.94204073185502
662395,albert,carl,0.9420449474147143
7343807,huge,suburban,0.9420830002447008
7669071,insist,regain,0.9421179388419196
5028301,disappointment,frustration,0.9421314005232914
9997417,reaction,response,0.9421614078029977
1061201,apparent,bros,0.9423578360447793
9832009,program,project,0.9423645546494964
561626,agricultural,agriculture,0.9424519925265443
7248780,hog,regain,0.9424956580865006
7331465,howard,morgan,0.9425011716057308
3382729,coffee_gencorp,coffee_silver,0.9425403435264359
48138,4p,9p,0.942763336983254
7794875,involve,involves,0.9427922472631117
8232052,lending,planting,0.9427934828844999
6592396,franklin,harris,0.9429026195130785
5652567,emphasize,regain,0.9429517275427286
4704847,delivery,shipment,0.943237348107445
6415924,five,four,0.9432590293121083
5096377,dismiss,ignore,0.9435183718179893
129290,absorb,dismiss,0.943583137157233
6017383,exist,exists,0.9436156453158865
9330007,ottawa,toronto,0.9436662423349614
6159435,fail,fails,0.943813652683489
2306329,breach,sweep,0.9438191811679838
9437340,partially,partly,0.9438822674805079
9738223,prediction,pricing,0.9439040326701591
10828327,voluntarily,voluntary,0.943920659594498
8732910,michael,thomas,0.9439343915090623
733082,alleviate,hardship,0.9440061384315307
5995239,exclusively,solely,0.9441147242295094
10636197,strict,suburban,0.9441341712678569
9585697,philip,robert,0.9441343390612444
6523439,formal,informal,0.9442282803395716
48137,4p,7p,0.9442698817072843
6038851,expectation,restrictive,0.9443005073556833
10652159,substantial,sufficient,0.9443754416137633
7412971,ii,iii,0.9444431703587173
1062306,apparent,gallon,0.9444504625803897
5551794,eight,eleven,0.9444908289632288
5297282,dramatically,markedly,0.9445051139552789
5014311,disagreement,discussion,0.9445367893894511
6311329,fiber,wire,0.9445559468005373
61623,6p,9p,0.9445724849495615
2780222,carrier,closely,0.9447735000437203
114613,able,unable,0.9449283754691745
1065382,apparently,clearly,0.9453185522021433
5026211,disappointed,pleased,0.9453533428106893
34941,2p,4p,0.9454741387592489
7081534,hardship,regain,0.9455350997764175
10738963,therefore,thus,0.945549540565068
10637213,strictly,unusually,0.9455596720967026
3854081,considerable,significant,0.9456988605801429
10711838,tax_february,treasury_april,0.9459017414870925
5941067,examine,investigate,0.9459054972235976
1986696,behalf,stance,0.9459280212028593
5327869,drink,eat,0.9459492428520825
4528765,dealing,dealt,0.9459727255556294
5950949,exceeds,regain,0.9460315587870636
10588239,stabilisation,stabilise,0.9462042446579522
9195539,obvious,unexpected,0.9462467215985642
