,Text,Label
0,well idea use nasa shuttle astronaut crew found space accident hole maybe age year late way shuttle problem medium anything imagine member century object interest maybe st okay well,3
1,obviously nt many newsgroup well maybe,1
2,dave think mean dave available msdos directory version also version view file create whole bunch last_week away bit definitely well interface first easy figure trick try option sure nt source think anyone_else thing work right tell several hour first time figure work,0
3,nt big bike john little sun japan,1
4,philadelphia chicago team sunday first game game series friday saturday sunday well perhaps fact cub always beat last able win hope pull top first pete hit second cut ball left center threw bullet threw third second play long fly center pete third cub absolutely beat likely draw walk year hit well double cool bell speed cut ball prevent bob second threat team nt pitch total put lot pressure allen first credit phillies able time analysis frank chance cub back bell hit thomas second williams home homer trouble third ed face allen hit allen right cub williams left defense bullet third bruce ed likely attempt hit quick third chance brought catcher inning cub phillies steve battle brown saturday first bill played third unfortunately brown double cub even cub maintain lead batting double hit score cub inning trouble bottom cub run ice sunday twin bill saw cool bell straight hit point home second game robert first cub second win bruce inning cardinal stood half game series monday st_louis august tie roll continued john friday hitter nt great job first first game suddenly found game first season friday williams saturday however cardinal sunday card monday game steve steve really good ground ball pitcher team speed nt nt phillies cub reason way season tie first new_york august straight win back team bad thing play pitcher park spoke series defense away quite run year extra win error season ahead second place dodger error total tend best defensive team friday saturday game defense mets win sunday look forward back mark unable several time past month met game pitcher stuff shot mets mets home top second inning second sent fifth spot order left field place hitter second hard fifth hit threw third right field line inning pitch bond rocket deep center stop sign third score homer win straight week san_francisco august sunday schedule giant close team thanks nt tire fact manager john part schedule maybe early week shift rotation little continued hot friday beating brave rbi hit joe saturday brave park homer giant affair homer brave sunday short record still yankee blue actually win batter fifth joe brave hold lead first game bill brave giant second game however score homer brave however game extremely san_diego first series felt rather good back last game trade even well even course poor joe minor problem good game friday win help mark ray saturday tom tie john tom second joe runner home win giant tie red red highly series dodger much houston august series weekend place wide open plain sent joe hill first game opposite hitter ready throw team runner nt fact lead team homer primarily current season team little well power still hit weekend threw runner homer park high wall ball hit seat foot foot away center field foot threw told nt hit nobody hit dodger base friday baltimore week tonight anyway jim manager well base baltimore pitch double first nt score inning score fourth even well next game john met starter game think beat baltimore beating ball ready throw steve start first ball want practice pick throw almost whole time plan almost mike scott bill fourth runner final dave smith dodger first game twin bill sunday dodger win second game however dodger base series enough mostly power team play real speed couple play place guess successful indeed team trouble base attempt season weekend series team new_york boston baltimore toronto washington chicago california chicago philadelphia st_louis new_york san_francisco houston san_diego,2
5,interested design team write portable possible eventually software opinion good prove portable anyone experience form software appreciate comment,0
6,polygon algorithm surface eg,0
7,still telephone people think comment source content general second section local istanbul week russian armenian turkish territory armenia month territory evidence cruelty armenian almost step village destroyed corps turk account able life mountain first horrible event russian force place russian usually people well people armenian place armenian however massacre clearly armenian land turk thus nationality problem today opportunity meet german soldier russian prison camp paul turk terrible almost whole city destroyed corps still fill air german prisoner well evidence regard proof turkish prisoner war serdar_argic,4
8,something never hit well minor year_old think bad hitter minor bring number nt brain forget good year major recall organization good hit decent fielding major nt hit well much time law catcher defense clear ever hit year ab born july year ab ba power walk model minor picture btw still cardinal organization much much well hitter average hitter instead average hitter average average fielding catcher,2
9,well change fact period armenian_government people past turkiye today azerbaijan cause armenian brought neighbor wrong method armenian continue become region usual neighbor lie completely azerbaijan border history xsoviet_armenia aspect azerbaijan render armenian claim even still armenian_government turkish_genocide xsoviet_armenia return turkish people xsoviet_armenian government material crime genocide world government turkish_genocide right armenian political pressure turkish people effort victim first century positive step source march british armenian soldier massacre hundred family violence republic union new yesterday slaughter hundred woman_child survivor armenian soldier shot azeri many woman_child attack town hundred possibly thousand dead soldier woman_child gun refugee survivor later described real slaughter soldier armenian people bayonet knife agdam woman_child way armenian line husband front daughter still boy agdam survivor others still many cold late yesterday death agdam body corps saw shot point range agdam hospital scene terror doctor slaughter bullet injury deep safe agdam rocket city population several building person serdar_argic,4
