,Text,Label
0,mln loss_plc trader april foreign april price account year mln home state earlier rise rev v v oil several shareholder dividend v v mln largely april state total pct_dlrs,3
1,begin fully bank commodity total series mln capital pre council france u loss pct_dlrs,4
2,lt dlrs demand reuter dividend year lt reuter dividend year worth new v reuter dlrs shrs_earnings country new v reuter v lt division reuter lt mid reuter total v reuter dlr also v_shrs earnings country v reuter v april related corp inc_strong cent dollar ontario company report united country v delayed central future profit meeting trade v v pct_dlrs,3
3,currency hit firm jointly taiwan nigel income csr inc british justice mln primary mln meeting value recently american planning loss loss inc plan market decline way month value ago way value european release american preliminary global value recently indian stock name pipeline lb supply arab nt last market williams holding way share account end justice receive mln value european ago wind qtr decline department plan share expensive support interest next pct_dlrs,4
4,mln world include start_measure gnp process nation april mln cost ct winter mln net diplomat reorganization group plastic mln field foreign group producer mln equivalent world york credit permit set_board share turnover growth pct_dlrs,4
5,time national growth v reuter growth v exchange_farm dlr v reuter dlr v ct voting standard v reuter standard v exchange_farm ct offering v reuter offering v national level shareholder v reuter source v exchange_farm business v reuter addition v pct_dlrs,4
6,mln ct economic dlrs dlrs v gulf tonne soviet increase tender bbl tender rating speculative tonne share_sale price carryforward tonne twa mln ct policy point nippon grain nil cocoa probably maintain month energy_long note pct_dlrs,4
7,lt n year reuter trust year aide reuter dlr also v reuter v lt end reuter banking end dlrs breakdown reuter v reuter v grain trading div company company country country year exchange grain trading company china year pct_dlrs,3
8,major_lt year reuter consumption year_major location reuter v product trade v reuter country v largely shareholder v farm year lt reuter paid v standard lt exchange position point consumer lt_company report tomorrow figure level condition_june source v treasury stock pct_dlrs,3
9,month matter relatively britain level month asset mln month central sept cost relatively britain production relatively mean month asset note treasury_april mln sept ct foreign britain level account mean month however britain level result currency rate part common week acceptance deposit britain richard pct_dlrs,16
10,federal_gain growth lt meeting year reuter company year ground reuter company objective reuter profit pct_dlrs,3
11,program mln american well announcement delegate officer dividend mln support feel american mln loss_plc talk stake sugar west analyst pct_dlrs,3
12,mln note csr acreage_previously american qtr sell rate income first dividend april rupee_crazy line_meat mln pct_dlrs,4
13,k_world damage mln contract_ago american central mine agricultural contract congress line_meat market_bought american import mln result ecus ct colombia ec contract_ago net mln net rapid american central import central shr governor congress due line_meat compare property stockholder auction actual european delayed rate longer bank mln late winter staff buying central compare mln net rise overseas power product shortage loss system loss failure court mln agency mineral state china american limited product largely american rank mln refining forecast japanese deal loss large loss good shr oil cash u privately american mln newly proposal riyal japanese american good ton quarter brazil pct_dlrs,4
14,offer ct proposal wheat subsidy loss satisfactory co_current japan_co reuters mln average increase ltd wholesale reserve mln stock offer mutual market summit low share market congressional buffer offer average satisfactory later u air repurchase external offer market reuters mln talk short_service later fall agriculture cash problem note mln life bear short net mln share loss offer share office reagan mths midnight share natural december low mln reuters mln offer share funding low write wheat sweden mths stock mln stg inc increase continue strategy sharp deficit sec tender payment bank house monday deficit december market_bought stake reuters mln stock k china offer last mln payment tobacco january offer investment canada monetary january offer fund subsidiary revenue largely japan product common shr baker mln start share life agreement contract net mln offer march financial regulation low revenue interest offer stock interest kind security contract_growth last reuters mln air_asset sea offer j u sale interview output policy month rubber baker case payable output mln bear short rubber bank late budget much u relief year caesar rubber u price last coin much manufacturer security agreement value share department zealand discount bank rubber season_secretary mln reuters mln january month output soybean telephone quarter offer pct_dlrs,19
15,agency non rev market_bought investment v restructuring difficulty gain meeting k market_bought mln continue decline investment v brazil result newspaper range pct_dlrs,8
16,mln sale annually law profit difficult fob partly de strengthen china reserve tax mln company r fob shr ct supply zinc treasury total v band_option june fund fob ct west h group vessel distribution congress dlrs banking pct_dlrs,16
17,use addition year reuter account year rev ltd_march pct_dlrs,3
18,lt reuter shareholder year lt meeting reuter shareholder year meeting also v reuter indonesia dlrs v reuter worth v trade gross figure fund sugar home production trade v united company producer dlrs united state january farm form loan well pct_dlrs,3
19,tomorrow_large export ct_yesterday stg new offer people bank iranian mln operation corp export level official official level board increase building bank sea airline term_chairman export pct_dlrs,21
20,iran research common brother month jointly company_workforce opec inflation sure vote continue crop_part case mln month brazilian bundesbank round company money world number nigeria anti statement government ct iran government nakasone year loss hope round mln continue york process significantly process process buyer march common possible wednesday maker year wednesday fast buyer question merchant quota year oil acceptance possible exchange washington minister year care last side oil bank contact manufacturing side maker pct_dlrs,11
21,market_bought broadly mln net provide high finance profit oper dlrs tonne income broadly plan nation mln increase_co minister net tonne member dividend total dlr dlr broadly mln net produce high due_ability net mln net figure institute high cash pay pct_dlrs,4
22,profit mln concern_government member name profit tonne oper commodity reserve profit tonne mln council gross yield finance also source source trade v mln commodity agreement shareholder total april oper conference pct_dlrs,4
23,federal_gain development_foreign lt year reuter rev year v reuter dlrs v reserve v reuter point v pct_dlrs,3
24,growth government europe ct reuter dlrs reserve reuter joint additional government due distribution reuter worth proceeds europe hong reuter arabia source addition reuter production worth rev reuter trade country proceeds japan france meeting standard reuter point proceeds due country reuter v pct_dlrs,3
25,oil body profit bpd directly crop_part gain dealer buffer company oil national friday manufacturing brazil v bpd loss dealer british program note manufacturing public note shr foreign regulation effect national pct_dlrs,1
26,lt august year reuter tariff year reuter shareholder v reuter production new v pct_dlrs,3
27,good weather co forecast shearson shift dixons underwriter held loss expenditure year cut program heating ct feel official weather program forecast import week_operating sale debt revenue mths series heating currency quarter cost burlington security procedure steel honeywell ct heating control high mths current co reduction large problem march bank debt quarter interest_china mths ct japan good producer analyst grade note central debt future stock boost heating announcement liability future weather program right world official mln bill american dixons expenditure security firm steel underwriter shearson price rev official mln outflow expenditure cost possible right world resource heating egypt america mths mine program connection ct supply official corn firm steel ct qtr season_secretary official mln u july yesterday procedure steel loss_plc producer rise_avg kuwaiti ct republican example weather co forecast right world weather deficit sorghum enough progress store inflow year shr heating ct official mln loss bond import co forecast bulk ct authority gdp heating procedure steel pct_dlrs,1
28,major_lt reserve year reuter foreign year_major reuter country v reuter meeting new v_shrs earnings dlrs stake reuter dlrs investigation remain major_lt farm year reuter point year_major reuter asia exploration new v reuter industrial v_shrs earnings dlrs reuter dlrs unit v growth year lt reuter inc v v reuter v company pct_dlrs,3
29,rep level ct tokyo cyclops nil form announcement decision acquisition threat partner week net week loan pressure import set close u participant block rubber bank board yen u aggregate ag approval store mln oil de form share seasonally show well talk forecast inflation estimate gasoline level february brown development cost long development net mln deficit sale initially filing metal rep fund pressure already hour time wheat month firm respect group forecast australia recently shr scheme legislation canada provide march likely scheme drought aide loss action burlington central worker issue mln net mln fall support rule west consideration return hope policy rate excludes even loss energy_domestic ct reserve pipeline asian ton acquisition plant february sale weakness burlington mln ct acquisition pressure ct pipeline chinese mln washington support u acquisition quarter venture market banker bank firm sale producer brazilian deregulation pct_dlrs,16
30,time mln domestic profit national warrant bpd national trading carryforward call industrial call ct london continued warrant trading vessel spending time mln bpd spending mln continued national bpd development member pct_dlrs,1
31,mln return sell move insurance payment date mark share stimulate end_april sell stand mln u record shortly bring fed return settlement currency share session bring mln television bill mark receive stock south interest yeutter pace painewebber award interest qtr mln capital producer stock heavy oper price price dlrs mln actual u wheat world ct depreciation nippon production quarter price mln ct michael approval release american standard bring capital stimulate council pct_dlrs,4
32,subject sun initial company_workforce opec deficit budget region stimulate fourth_firm part oil subject loss projection possible deficit soybean director york subject germany shr year iowa iv year defense secretary shr place rule good mln senior sun initial opec today deficit budget region announcement record deficit budget communication counter opec west york relief simply shr time mark trend whole share mark mark mln support qtr opec foreign future r limited part peso buyer semiconductor control rise firm qtr last york subject simply process shearson cover group program discount offset stay medical program singapore_leader regulatory tender avoid aim holding right issue year subject stake america rise north year quarter dlr statement large ct north simply daily ct offset year japan excessive march hutton cut iowa year york mln producer aim administration year large directly market_volcker thought hand year crude point shr ct loan undisclosed year group mine firm credit renault coffee_silver january issue icco undisclosed year future program shr directly month opec fed west design technology national world news ago national january ct grain import price day resolve firm washington hand resolve bpd year include sector hand middle_swiss bundesbank design technology minister company commission shr hearing commission pct_dlrs,13
33,yen tax_current inc corp short foreign reserve cent_note mln service german_asset short motor current provide current rate new rev official mln buffer exclude discus current french adviser bank tax_current official mln u quota department estimate situation_february shr french union produce spokeswoman aid board shr february ct freight grow situation_february short motor february general ct shift situation_february u service recently pct_dlrs,20
34,ct difference v itc national country conference note qtly month note boost total v whole prevent chicago nation ct reserve continue rev federal tax corp federal agreement federal foreign pct_dlrs,1
