,Row,Column,Value
8224,syria,usenetinscwruedu,0.38084448383111835
6020,jake_bony1bonycom,syria,0.39280041544102673
8357,usenetinscwruedu,village,0.3932063246547726
7238,nntppostinghost_helainscwruedu,syria,0.4031160570919451
6032,jake_bony1bonycom,village,0.4087587654805915
7250,nntppostinghost_helainscwruedu,village,0.41359251900087224
5218,igcapcorg,village,0.41601200556422824
7370,palestine,send_mail,0.4162374661447943
8368,village,zionism,0.418306093554549
8361,usenetinscwruedu,yugoslavia,0.4219589059833412
8102,send_mail,village,0.4219895982590318
8214,syria,tclock_orionoacuciedu,0.42303123813239846
5804,islamic,send_mail,0.42331038648220265
8106,send_mail,yugoslavia,0.42450405204471575
8090,send_mail,syria,0.42553828911663527
5993,jake_bony1bonycom,palestine,0.4274815823961059
7387,palestine,usenetinscwruedu,0.4285865776797783
2600,clevelandfreenetedu,village,0.4298792336209631
250,adam_shostack,village,0.43025091674939187
3818,elia,village,0.4357840612287388
2559,clevelandfreenetedu,occupation,0.43613180752011993
6530,lebanese,send_mail,0.4365708177133296
8242,tclock_orionoacuciedu,village,0.43858177166512347
7279,occupation,send_mail,0.439613017120992
6982,nazi,send_mail,0.44051455488713137
8362,usenetinscwruedu,zionism,0.44119247074191487
6486,kuwait,usenetinscwruedu,0.4416580669534896
7211,nntppostinghost_helainscwruedu,palestine,0.44222020395501616
7202,new_york,village,0.44447716759353195
8108,send_mail,zionist,0.44525914324511195
6036,jake_bony1bonycom,yugoslavia,0.4467722791812326
6407,judaism,send_mail,0.44864062597723403
4874,holocaust,send_mail,0.4493552334558952
5945,israeli,send_mail,0.4496237947448449
8107,send_mail,zionism,0.4498491215443491
6100,jake_livni,village,0.4502140574124218
6649,mcgill,send_mail,0.4511727044236039
4355,freeman,send_mail,0.4516711583547
7597,politics,usenetinscwruedu,0.45254649943471514
1237,border,usenetinscwruedu,0.45280251834702756
2588,clevelandfreenetedu,syria,0.4530660209994094
7864,regime,send_mail,0.4537625556394806
6149,jerusalem,send_mail,0.45382929892673035
7296,occupation,usenetinscwruedu,0.45410986443029355
5206,igcapcorg,syria,0.4553603796353052
5510,iranian,send_mail,0.4554607524402859
2604,clevelandfreenetedu,yugoslavia,0.45569363012060504
6469,kuwait,send_mail,0.45608534872582057
2553,clevelandfreenetedu,nazi,0.4561776793487199
4444,gaza,send_mail,0.45716661521428903
4461,gaza,usenetinscwruedu,0.4580313462183695
5296,inhabitant,usenetinscwruedu,0.45928173143821455
875,bh,village,0.4599020088614362
7680,previous_article,zionism,0.4601674383838246
8272,territory,usenetinscwruedu,0.4603948919425622
8105,send_mail,wwii,0.4604165181839566
