,Text,Label
0,approves stock_split inc say board_director approve two one stock_split common_share shareholder_record april company also say board vote annual_meeting april increase_authorize capital stock five mln mln share reuter,earn
1,system completes_sale system_inc say complete sale share common_stock warrant acquire additional one mln share n v switzerland dlrs company say warrant exercisable five year purchase price dlrs per_share say also right buy additional share increase total holding pct outstanding_common stock certain_circumstance involve change control company company say condition occur warrant would exercisable price equal pct common_stock market price time exceed dlrs per_share also say sell right dot impact technology include future improvement inc houston dlrs say would continue exclusive worldwide technology company say move part would help pay current operation cost ensure product delivery make computer generate label form terminal reuter,acq
2,inc year net_shr ct v dlrs net v asset mln v mln deposit mln v mln loan mln v mln note th_qtr available year include_extraordinary gain tax carry forward dlrs five ct per shr reuter,earn
3,international_inc nd_qtr jan oper_shr loss two ct v profit seven_ct oper_shr profit v profit_rev mln v mln_avg shrs mln v mln six_mths oper_shr profit nil v profit ct_oper net profit v profit_rev mln v mln_avg shrs mln v mln note per shr calculate payment_prefer dividend result_exclude credit four_ct nine ct qtr six_mths v six ct ct_prior period operating loss_carryforwards reuter,earn
4,inc th_qtr net_shr one dlr v ct_net mln v mln rev_mln v mln nine_mths shr dlrs v dlrs net mln v mln rev billion v mln reuter,earn
5,food see_strong th_qtr earnings food co expect earnings fourth_quarter end may exceed year_ago period chairman kenneth douglas told analyst fiscal fourth_quarter food processor report earnings ct share douglas also say year sale exceed billion dlrs billion dlrs prior year repeat earlier projection third_quarter earnings probably slightly last_year ct share fall range ct ct share douglas say early project whether anticipate fourth_quarter performance would enough u exceed prior year overall earnings dlrs share douglas say experience pct improvement effect tax_reform act alone president howard say fiscal company benefit various dairy frozen vegetable acquisition ryan co also say company benefit acquisition late december inc west chicago say company major shareholder e b food ltd united_kingdom licensing arrangement australia canada brazil japan provide entry corp year douglas told analyst reuter,earn
6,lower_copper cent ct co mining_corp say cut price cent_cent immediately reuter,copper
7,set stock_split ups_payout inc say board_approve three two stock_split pct increase company cash_dividend company cite improve earnings outlook continued strong cash_flow reason raise dividend say split share would effective march company say director declare quarterly_cash dividend new share class ct payable_april one holder_record march prior split company paid ct quarterly today report pct increase third_quarter profit mln dlrs dlr share seven pct increase sale record mln dlrs say nine_month profit decline bit mln dlrs dlrs share mln dlrs dlrs share year_earlier due second_quarter charge ct share restructuring operation company say low corporate tax rate restructuring expect substantially improve earnings cash_flow fiscal reuter,earn
8,radio electronics inc th_qtr shr_profit ct v profit four_ct annual div_ct v ct_prior yr net profit v profit_rev v mths_shr profit ct v loss ct_net profit v loss_rev mln v note annual dividend_payable april stockholder_record march reuter,earn
9,corp th_qtr net_shr ct v ct_net v rev_mln v mln year shr dlrs v dlrs net v rev_mln v mln note result include adjustment dlrs ct shr year period improvement result universal life business first estimate reuter,earn
10,january housing sale drop realty group say sale previously own home drop pct january seasonally_adjust annual rate mln unit national association say december rate mln unit high since record mln unit sale rate set november group say drop january consider significant portion december near record pace make seller seek get favorable capital_gain treatment old tax_law say john reuter,housing
11,asset money_market mutual_fund rise mln dlrs late week,money-supply
12,inc raise qtly_dividend qtly_div eight_ct v ct_prior pay march record_march reuter,earn
13,computer language research th_qtr shr_loss ct v loss ct_net loss v loss_rev mln v mln qtly_div three ct v three ct_prior year shr_profit two ct v profit ct_net profit v profit_rev mln v mln note dividend_payable april one shareholder_record march reuter,earn
14,ltd th_qtr net_shr ct v ct_net mln v sale mln v mln_avg shrs_v year shr dlrs v dlrs net mln v mln sale mln v mln_avg shrs_v reuter,earn
15,standard see well year standard say expect earnings increase least pct dlrs dlrs per_share record stable interest_rate grow economy expect provide favorable condition growth president told shareholder annual_meeting standard previously_report asset billion dlrs billion dlrs return common shareholder equity pct last_year pct reuter,earn
16,th_qtr loss shr_loss ct v loss three ct_net loss v loss_rev mln v mln month shr_loss ct v profit ct_net loss v profit_rev mln v mln note net loss th_qtr include_charge restructuring mln dlrs tax ct share net loss include_tax special charge mln dlrs ct share reuter,earn
17,ico producer present new coffee proposal international_coffee organization_ico produce_country present proposal reintroduce export_quota month april firm try negotiate september future quota distribution new basis ico delegate say distribution april would unchanged basis earlier producer proposal include shortfall total mln bag say ico contact group meeting consumer schedule even postpone tomorrow delegate say reuter,coffee
18,rise hope high bid chemlawn_corp could attract high bid dlrs per_share offer waste_management inc wall_street arbitrageur say share chemlawn shot mln company mln share change hand late afternoon company could go time cash_flow dlrs maybe dollar depend whether compete bidder arbitrageur say waste_management tender_offer announce opening today expires march totally surprise say chemlawn spokeswoman company board held meeting today discuss waste_management announcement say statement expect certain would ready unable say prior contact waste_management chemlawn official think resist say analyst ball inc company like surprise attack would arbitrageur point difficult resist tender_offer share cash say chemlawn could white want acquire waste_management analyst snyder say company l_p inc example company could interested chemlawn two mln customer large u company involve application waste_management involve removal waste say chemlawn customer base could another company want capitalize strong residential commercial distribution system note high growth rate chemlawn share price mid stock rate say company profit concentrate fourth_quarter chemlawn earn dlrs per_share full year dlrs fourth_quarter note chemlawn thousand individual offer garden care reuter,acq
19,u sugar_import week usda sugar_import subject u sugar_import quota week_end january initial week sugar quota year total short_ton versus ton previous_week say sugar_import quota quota year january december set short_ton compare ton quota year extend three_month december department say custom service report weekly cumulative import report actual weight basis final receive cumulative import data adjust reuter,sugar
20,brazil anti inflation plan inflation plan initially home abroad economy towards first amid soar price widespread shortage foreign payment crisis announce last february plan price fix value new currency end widespread economy bid halt country pct inflation_rate within year plan collapse situation bad although inflation least economy work lead bank economist say plan accompany reversal foreign trade account brazil annual trade_surplus sufficient cover billion dlrs need service billion_dlr foreign_debt first nine_month seem target repeat monthly surplus average one billion dlrs export divert import increase avoid domestic shortage trade_surplus plunge mln dlrs october since average mln reuter,trade
