,Row,Column,Value
967939,apparent,tackle,0.9398975620062444
9974611,tuesday,wednesday,0.9399200702494716
5008306,easily,fully,0.9399202507248912
3995632,crucial,significant,0.9399324621575439
965628,apparent,exceeds,0.9399777702865839
35128,3p,6p,0.9399837782507203
7614,1980s,1990s,0.9400265174968508
4889289,drastic,unexpected,0.9400665057806745
6776811,huge,obvious,0.9400885965889358
3047777,closely,strictly,0.9401359714839871
5661565,extremely,strictly,0.9401849126705385
4284129,deficit,expectation,0.9402221314253459
5214205,emphasize,insist,0.940253140575088
4495608,develop,develops,0.9403017712300812
1015978,appropriate,suitable,0.9403623520373561
1182532,arrival,arrive,0.9403761397091708
7598358,lending,mechanism,0.94038337999863
9224281,rapidly,steadily,0.9404042599990572
8924938,plunge,stance,0.9404108086335032
6122592,ftc,ibc,0.9404269580408033
1354621,attempt,regain,0.9404398609442801
9075916,productive,profitable,0.9404979395458486
4200954,debt_march,treasury_april,0.9405165981521753
9311302,regain,revive,0.9405175337713029
1084011,arbitrage,arbitrager,0.9405436818401104
2560216,carrier,contrary,0.9405575464070098
2545183,carl,karl,0.940571445844588
16639,1p,3p,0.9405768395359426
100919,able,regain,0.9405921139577935
9963294,transport,transportation,0.9406738090171031
5659526,extremely,highly,0.9407744458951071
6623029,henry,robert,0.9408867511789217
8726647,particular,specific,0.9409538766935162
6150139,fundamentally,necessarily,0.9410326434066747
4331280,deliver,rebuild,0.9410463497450574
5257053,enforce,impose,0.9410690485404266
8069318,michel,pierre,0.9411516547703332
1935532,binding,delivery,0.94117559179074
3862237,counterpart,revive,0.9412209822294848
3552925,considerable,dramatically,0.9412763375772863
4519,1970s,1980s,0.9412968007222855
5573693,expectation,stance,0.9413336294336387
52038,5p,7p,0.9413696835500266
6508909,harbor,harbour,0.9414544036425215
2995469,classify,restrict,0.9415172983991846
2119128,breach,violate,0.9416790393260283
5672040,facilitate,relate,0.9418066244794834
8526730,often,sometimes,0.9418146337462637
3863145,counterpart,vegetable,0.9418493425976714
1267860,assessment,evaluation,0.9418787923019339
7664081,likely,probably,0.9418792720891379
1137664,argument,disagreement,0.9419659588661499
5573127,expectation,regain,0.9420254928224465
2610727,catch,mood,0.94204073185502
603964,albert,carl,0.9420449474147143
6777615,huge,suburban,0.9420830002447008
