,0
0,ab
1,abandon
2,abdul
3,abdul_aziz
4,abide
5,ability
6,able
7,abolish
8,abroad
9,absence
10,absorb
11,abu_dhabi
12,accelerate
13,accept
14,acceptable
15,acceptance
16,accepted
17,access
18,accident
19,accompany
20,accord
21,accordance
22,account
23,accounting
24,accounting_change
25,accrue
26,accumulate
27,accuse
28,achieve
29,acid
30,acknowledge
31,acquire
32,acquire_privately
33,acquires
34,acquisition
35,acquisition_disclose
36,acquisition_subject
37,acre
38,across
39,act
40,action
41,active
42,active_trading
43,actively
44,activity
45,actual
46,actually
47,adam
48,add
49,add_reserve
50,addition
51,additional
52,address
53,adequate
54,adhere
55,adjourn
56,adjust
57,adjustment
58,administration
59,administrative
60,admit
61,adopt
62,adoption
63,adsteam
64,advance
65,advanced
66,advantage
67,adverse
68,advertising
69,advise
70,adviser
71,advisory
72,advocate
73,aegon
74,aero
75,aerospace
76,affair
77,affect
78,affected
79,affiliate
80,afford
81,afg
82,afg_industry
83,africa
84,african
85,afternoon
86,ag
87,aga
88,agency
89,agenda
90,agent
91,aggregate
92,aggressive
93,aggressively
94,agl
95,ago
96,agree
97,agree_acquire
98,agree_buy
99,agree_cooperate
100,agree_merge
101,agree_principle
102,agree_sell
103,agreement
104,agreement_principle
105,agreement_reach
106,agrees
107,agrees_acquire
108,agricultural
109,agricultural_product
110,agricultural_trade
111,agriculture
112,ahead
113,ahmed
114,aid
115,aide
116,ail
117,aim
118,air
119,air_atlanta
120,air_canada
121,airbus
122,aircraft
123,airline
124,airline_inc
125,airport
126,airway_ltd
127,ajinomoto
128,akzo
129,al
130,al_wattari
131,alabama
132,alan
133,alaska
134,alberta
135,ald
136,alexander
137,algeria
138,ali
139,allegation
140,allege
141,alleges
142,allegheny
143,allegheny_international
144,allegis
145,alliance
146,allied
147,allied_lyon
148,allied_signal
149,allied_store
150,allis_chalmers
151,allocate
152,allocation
153,allow
154,allowance
155,allows
156,allwaste
157,ally
158,almost
159,aloha
160,alone
161,along
162,alpha
163,already
164,already_hold
165,already_own
166,also
167,alter
168,alternative
169,although
170,aluminium
171,alusuisse
172,always
173,amb
174,ambassador
175,amc
176,amend
177,amendment
178,america
179,american
180,american_brand
181,american_express
182,american_medical
183,american_motor
184,american_saving
185,american_telephone
186,ameritrust
187,ami
188,amid
189,ammeen
190,amo
191,amoco
192,among
193,among_thing
194,amount
195,ample
196,amr
197,amsouth
198,amsterdam
199,amstutz
200,anacomp
201,analysis
202,analyst
203,analyst_estimate
204,analyst_speculate
205,anchor
206,anderson
207,angeles
208,anger
209,annesley
210,announce
211,announce_acquisition
212,announce_plan
213,announcement
214,announces
215,annual
216,annual_meeting
217,annual_report
218,annual_revenue
219,annually
220,another
221,answer
222,anti
223,anticipate
224,anticipates
225,antitrust
226,antonio
227,anything
228,anz
229,apart
230,apea
231,api
232,apparel
233,apparent
234,apparently
235,appeal
236,appear
237,appliance
238,application
239,applies
240,apply
241,appoint
242,appreciate
243,appreciation
244,approach
245,appropriate
246,approval
247,approve
248,approve_merger
249,approves
250,approximately
251,april
252,april_holder
253,april_record
254,aqazadeh
255,aquino
256,arab
257,arbitrage
258,arbitrager
259,arbitrageur
260,arbitration
261,arc
262,arco
263,area
264,argosystems
265,argue
266,argument
267,ariadne
268,arise
269,arizona
270,arm
271,armstrong
272,armtek
273,around
274,around_current
275,arrange
276,arrangement
277,arrive
278,art
279,arthur
280,article
281,ashland
282,asia
283,asian
284,ask
285,ask_approve
286,ask_whether
287,asks
288,aspect
289,ass
290,assembly
291,assess
292,assessment
293,asset
294,assign
295,assist
296,assistance
297,assistance_bank
298,assistant
299,associate
300,association
301,assume
302,assumption
303,assumption_liability
304,assurance
305,assure
306,astra
307,atco
308,atcor
309,atlanta
310,atlantic
311,atlantic_city
312,atlantic_richfield
313,att
314,attach
315,attack
316,attack_iranian
317,attempt
318,attend
319,attention
320,attitude
321,attorney
322,attract
323,attractive
324,attributable
325,attribute
326,auction
327,audi
328,audio_video
329,audit
330,auditor
331,aug
332,august
333,australia
334,australia_ltd
335,australian
336,australian_dollar
337,australian_prime
338,austria
339,authorise
340,authority
341,authorization
342,authorize
343,auto
344,automation
345,automobile
346,automotive
347,autumn
348,ava
349,available
350,avana
351,average
352,avert
353,avery
354,avg
355,avg_shrs
356,avia
357,aviation
358,avoid
359,avon
360,await
361,award
362,aware
363,away
364,b_c
365,bac
366,back
367,backing
368,backlog
369,bad
370,badly
371,bahrain
372,baird
373,baker
374,baker_hughes
375,baker_international
376,balance
377,balance_payment
378,balance_sheet
379,balao
380,baldrige
381,ball
382,balladur
383,bally
384,baltic
385,ban
386,banco
387,bancorp
388,bancorp_inc
389,bancroft
390,bancshares
391,bancshares_inc
392,band_one
393,band_two
394,bangladesh
395,bank
396,bank_england
397,bankamerica
398,bankamerica_corp
399,banker
400,banker_balance
401,banker_trust
402,banking
403,banking_source
404,banking_system
405,bankruptcy
406,bankruptcy_court
407,banner
408,banque
409,bar
410,barclays
411,barge
412,barrel
413,barrel_crude
414,barrel_day
415,barrel_effective
416,barrel_light
417,barrel_per
418,barrier
419,barwon
420,base
421,base_lending
422,base_rate
423,basf
424,basic
425,basically
426,basin
427,basis
428,basis_point
429,basket
430,bass
431,bass_family
432,bass_group
433,bass_strait
434,bat
435,battery
436,battle
437,bay
438,bayer
439,bayou
440,bbl
441,bcw
442,beach
443,bear
444,bear_stearns
445,bearing
446,become
447,become_effective
448,become_wholly
449,becomes
450,becor
451,becor_western
452,beef
453,beer
454,begin
455,behalf
456,behind
457,belgian
458,belgium
459,belief
460,believe
461,bell
462,benchmark
463,beneficial
464,benefit
465,bentsen
466,bermuda
467,besides
468,best
469,best_interest
470,beyond
471,bfg
472,bhd
473,bhp
474,bicc
475,bid
476,bidder
477,bidding
478,big
479,bil
480,bilateral
481,bilateral_trade
482,bill
483,bill_mature
484,billion
485,billion_crown
486,billion_deposit
487,billion_dlr
488,billion_franc
489,billion_guilder
490,billion_lira
491,billion_mark
492,billion_peseta
493,billion_peso
494,billion_riyal
495,billion_stg
496,billion_yen
497,bilzerian
498,binding
499,biotechnology
500,bit
501,bko
502,black
503,blair
504,blame
505,block
506,blue
507,bnl
508,board
509,board_approve
510,board_authorize
511,board_chairman
512,board_declare
513,board_director
514,board_reject
515,boat
516,body
517,boeing
518,boliden
519,boliden_ab
520,bolster
521,bond
522,bond_issue
523,bonn
524,bonus
525,bonus_issue
526,book
527,book_value
528,boost
529,boost_domestic
530,boost_import
531,bor
532,border
533,borg_warner
534,borrow
535,borrower
536,borrowing
537,boston
538,bottle
539,bottom
540,bought
541,bought_stake
542,bound
543,bourse
544,bp
545,bp_l
546,bpd
547,bpd_august
548,bpd_ceiling
549,bpd_quota
550,bpi
551,br
552,branch
553,brand
554,brazil
555,brazil_seaman
556,brazilian
557,brazilian_loan
558,break
559,break_even
560,breakwater
561,brent
562,brewer
563,brewery
564,brewing
565,bridge
566,brief
567,brierley_investment
568,bring
569,bring_total
570,brings
571,bristol_myers
572,britain
573,british
574,british_columbia
575,british_commonwealth
576,british_petroleum
577,british_printing
578,broad
579,broadcast
580,broadcasting
581,broke
582,broker
583,brokerage
584,brokerage_firm
585,brook
586,brother
587,brother_inc
588,brought
589,brown
590,bruce
591,brunswick
592,bsn
593,buckhorn
594,budget
595,budget_deficit
596,build
597,builder
598,building
599,building_material
600,building_society
601,built
602,bulk
603,bull
604,bullish
605,bundesbank
606,bundesbank_president
607,burden
608,bureau
609,burlington
610,burn
611,bus
612,business
613,business_combination
614,businessmen
615,butler
616,buy
617,buy_back
618,buyback
619,buyer
620,buying
621,buyout
622,buyout_proposal
623,c_b
624,c_w
625,cabinet
626,cabinet_meeting
627,cable
628,cable_news
629,cable_system
630,cable_television
631,cable_wireless
632,cablevision
633,caesar
634,caesar_world
635,calculate
636,calculation
637,calendar
638,calgary
639,calif
640,california
641,call
642,call_money
643,call_special
644,callebaut
645,calm
646,calmat
647,calny
648,campaign
649,campeau
650,canada
651,canada_ltd
652,canadian
653,canadian_imperial
654,canadian_pacific
655,canadian_tire
656,canal
657,cancel
658,candidate
659,cannon
660,cap
661,capability
662,capable
663,capacity
664,capital
665,capital_expenditure
666,capital_spending
667,capitalize
668,car
669,caracas
670,card
671,cardis
672,care
673,careful
674,carefully
675,carefully_consider
676,cargo
677,cargo_handle
678,cargo_preference
679,caribbean
680,carling
681,carney
682,carolina
683,carrier
684,carry
685,carson
686,cartel
687,carter_hawley
688,case
689,cash
690,cash_distribution
691,cash_flow
692,cash_tender
693,caspar_weinberger
694,casualty
695,category
696,caterpillar
697,cathay
698,cathay_pacific
699,cause
700,caution
701,cautious
702,caw
703,cb
704,cbt
705,ccc
706,cd
707,cease
708,ceiling
709,cellular
710,cement
711,cenergy
712,cent
713,cent_per
714,centel
715,center
716,central
717,central_bank
718,central_banker
719,centre
720,century
721,cereal
722,certain
723,certain_asset
724,certain_circumstance
725,certain_condition
726,certainly
727,certificate
728,certificate_deposit
729,cetus
730,cgct
731,chain
732,chairman
733,chairman_chief
734,chairman_john
735,chairman_robert
736,chairman_william
737,challenge
738,champion
739,champlin
740,chance
741,chancellor
742,chancellor_exchequer
743,change
744,change_accounting
745,change_fiscal
746,change_name
747,channel
748,channon
749,chapter
750,chapter_bankruptcy
751,characterize
752,charge
753,charge_offs
754,charles
755,charter
756,charter_crellin
757,chase
758,chase_manhattan
759,cheap
760,cheaper
761,check
762,chemical
763,chemlawn
764,chemlawn_chem
765,chesebrough
766,cheung_kong
767,chevron
768,chi
769,chicago
770,chief
771,chief_executive
772,chief_financial
773,chief_operating
774,china
775,china_daily
776,chinese
777,chip
778,chip_maker
779,chipmakers
780,chirac
781,choice
782,christian
783,chrysler
784,chrysler_c
785,chrysler_corp
786,chubb
787,chv
788,ciba_geigy
789,cie
790,circle
791,circuit
792,circulation
793,circumstance
794,cite
